縣市別,調查站_編號,調查站_地點,調查站_樁號_K,調查站_樁號_百位數,調查站_座標_經度,調查站_座標_緯度,路線編號,起迄地名_起點,起迄地名_迄點,起點樁號_K,起點樁號_百位數,迄點樁號_K,迄點樁號_百位數,地形,里程(公里),路面寬度(公尺),方向(往),車道佈設_快車道寬度(公尺)_1,車道佈設_快車道寬度(公尺)_2,車道佈設_快車道寬度(公尺)_3,車道佈設_快車道寬度(公尺)_4,車道佈設_快車道寬度(公尺)_5,車道佈設_機慢車道寬度(公尺)_1,車道佈設_機慢車道寬度(公尺)_2,車道佈設_路肩寬度(公尺),各車種車輛數(輛/日)_小型車,各車種車輛數(輛/日)_大客車,各車種車輛數(輛/日)_大貨車,各車種車輛數(輛/日)_全聯結車,各車種車輛數(輛/日)_半聯結車,各車種車輛數(輛/日)_機車,各車種車輛數(輛/日)_合計,總計_流量(PCU),總計_車公里,尖峰小時_交通量(PCU),尖峰小時_時段_起,尖峰小時_時段_迄,方向係數,自行車_平日交通量,自行車_假日交通量,備註
台東縣,Ⅲ-29,檳榔橋,367,700,"E121'05'26.2""","N22'48'37.7""",台9線,檳榔,卑南,367,550,373,121,丘陵區,5.6,12.5,南,3.4,,,,,2.1,,0.4,"7,227",80,210,0,164,"1,292","8,973","9,563","50,249","1,949",17,18,0.5,40,52,
台東縣,Ⅲ-30,東方大鎮,376,0,"E121'07'19.5""","N22'46'7.2""",台9線,卑南,新園,373,121,383,876,丘陵區,10.8,17.7,北,3.5,3.5,,,,0,,1.2,"5,672",133,73,0,11,"3,613","9,502","8,307","102,622",956,17,18,0.5,0,0,
台東縣,Ⅲ-30,東方大鎮,376,0,"E121'07'19.5""","N22'46'7.2""",台9線,卑南,新園,373,121,383,876,丘陵區,10.8,17.7,南,3.5,3.5,,,,0,,2.3,"5,912",94,81,0,10,"3,475","9,572","8,397","103,378",766,7,8,0.5,0,0,
台東縣,Ⅲ-31,新園橋,384,100,"E121'02'57.1""","N22'45'39.4""",台9線,新園,知本,383,876,391,200,丘陵區,7.3,18.8,北,3.4,4.4,,,,0,,1.5,"3,607",161,142,0,146,"1,142","5,198","5,628","37,945",600,16,17,0.5,0,0,
台東縣,Ⅲ-31,新園橋,384,100,"E121'02'57.1""","N22'45'39.4""",台9線,新園,知本,383,876,391,200,丘陵區,7.3,18.8,南,3.4,4.4,,,,0,,1.5,"3,615",109,141,0,145,"1,128","5,138","5,517","37,507",498,16,17,0.5,0,0,
台東縣,Ⅲ-32,知本橋,391,500,"E121'02'22.7""","N22'42'6.3""",台9線,知本,金崙,391,200,414,0,丘陵區,22.8,18.2,北,3.5,3.5,,,,0,,1.5,"2,332",170,102,0,116,719,"3,439","3,887","78,409",366,17,18,0.52,33,42,分離車道
台東縣,Ⅲ-32,知本橋,391,500,"E121'02'22.7""","N22'42'6.3""",台9線,知本,金崙,391,200,414,0,丘陵區,22.8,18.2,南,3.5,3.5,,,,0,,1.5,"2,535",95,136,0,139,777,"3,682","4,158","83,950",392,16,17,0.52,6,15,分離車道
台東縣,Ⅲ-33,阡仔崙橋,415,0,"E120'57'50.2""","N22'31'38.2""",台9線,金崙,大武,414,0,435,0,丘陵區,21,7.4,北,3.4,,,,,0,,0.2,"3,604",218,336,0,169,340,"4,667","6,281","98,007","1,272",17,18,0.51,0,0,
台東縣,Ⅲ-33,阡仔崙橋,415,0,"E120'57'50.2""","N22'31'38.2""",台9線,金崙,大武,414,0,435,0,丘陵區,21,7.4,南,3.4,,,,,0,,0.2,"3,637",148,250,0,183,356,"4,574","5,924","96,054","1,272",17,18,0.51,0,0,
台東縣,Ⅲ-34,大武橋,435,100,"E120'54'24.9""","N22'21'39.1""",台9線,大武,壽卡,435,0,455,359,丘陵區,20.4,18,北,3.4,3.9,,,,0,,1.5,"4,110",223,250,2,227,888,"5,700","6,734","116,280",640,9,10,0.5,123,69,
